title,price,rating,reviews,availability,Category
U-Turn Casual Shirt for Men || Shirt for Men Latest Stylish || Men Stylish Shirt || Men Printed Striped Shirt, ,3.7 out of 5 stars,"1,130 ratings",In stock,amazon_men shirt_data
Peter England Men's Everyday Ditsy Print Slim Fit Full Sleeve Casual Shirt | 100% Cotton, ,4.0 out of 5 stars,525 ratings,In stock,amazon_men shirt_data
Zombom Cotton Blend Solid Casual Regular Fit Mandarin/Chinese Collor Short Kurta for Men, ,3.8 out of 5 stars,"1,242 ratings",In stock,amazon_men shirt_data
IndoPrimo Men's Classic fit Plain Satin Casual Shirt for Men Full Sleeve, ,4.2 out of 5 stars,234 ratings,In stock,amazon_men shirt_data
Lymio Casual Regular Fit Shirt for Men|| Regular Fit Shirt for Men|| Men Stylish Regular Fit Shirt (Rib-Regular Fit Shirt), ,4.3 out of 5 stars,"2,056 ratings",In stock,amazon_men shirt_data
Majestic Man Men Box Checkered Slim Fit Cotton Casual Shirt, ,4.0 out of 5 stars,330 ratings,In stock,amazon_men shirt_data
IndoPrimo Men's Regular Fit Fancy Double Pocket Casual Shirt for Men Full Sleeves - Cargo, ,4.1 out of 5 stars,447 ratings,In stock,amazon_men shirt_data
Van Heusen Formal Micro Checkered Shirt for Men| Premium Cotton| Full Sleeves| Slim Fit |Breathable Fabric, ,3.9 out of 5 stars,676 ratings,In stock,amazon_men shirt_data
Allen Solly Men's Plain Slim fit Shirt, ,3.6 out of 5 stars,"12,308 ratings",In stock,amazon_men shirt_data
Louis Philippe Men's Easy to Care Cotton Slim fit Striped Casual Shirt with Natural Stretch, ,Previous page,,In stock,amazon_men shirt_data
JAI TEXTILES Men's Cotton Casual Printed Checkered Stylish Latest Shirt for Men (SkyBlue; Medium),₹399.00,Previous page,,In stock,amazon_men shirt_data
Pinkmint Mens Long Sleeve Button Down White Shirt for Men Collared Casual Formal Soild Shirt, ,3.6 out of 5 stars,841 ratings,In stock,amazon_men shirt_data
Louis Philippe Men's Premium Cotton Easy to Care Slim fit Textured Casual Shirt with Natural Stretch, ,3.0 out of 5 stars,12 ratings,In stock,amazon_men shirt_data
Peter England Men's Slim Fit Full Sleeve Striped Formal Shirt | Cotton Rich | Wonder Fabric | Pin Point Oxford, ,4.2 out of 5 stars,73 ratings,In stock,amazon_men shirt_data
Peter England Men's Slim Fit Shirt, ,3.8 out of 5 stars,4 ratings,In stock,amazon_men shirt_data
GRECIILOOKS Shirt for Men | Mens Casual Shirt | Men Stylish Shirt | Men Crochet Shirt | Men's Regular Fit | Men Formal Shirt | Men's Solid Slim Fit, ,4.1 out of 5 stars,279 ratings,In stock,amazon_men shirt_data
Majestic Man Solid Slim Fit Casual Shirt for Men, ,3.8 out of 5 stars,"1,768 ratings",In stock,amazon_men shirt_data
Dennis Lingo Men's Checkered Slim Fit Cotton Casual Shirt, ,3.8 out of 5 stars,"4,850 ratings",In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Size and Combo Packs), ,3.8 out of 5 stars,"7,182 ratings",In stock,amazon_men shirt_data
GRECIILOOKS for Casual Stylish Polycotton Regular Formal Shirt | Men's Solid Slim Fit, ,4.0 out of 5 stars,"2,183 ratings",In stock,amazon_men shirt_data
IndoPrimo Men's Casual Solid Satin Shirt for Men Full Sleeves, ,4.2 out of 5 stars,512 ratings,In stock,amazon_men shirt_data
Peter England Men's Slim Fit Full Sleeve Pin-Striped Formal Shirt | Cotton-Rich | Wonder Fabric | Pin Point Oxford, ,4.2 out of 5 stars,106 ratings,In stock,amazon_men shirt_data
The Souled Store Plaid: Waffle Black Men and Boys Long Sleeve Collared Neck Button Front Regular Fit Cotton Shirts, ,3.6 out of 5 stars,3 ratings,In stock,amazon_men shirt_data
U.S. POLO ASSN. Cotton Men's Slim Fit Casual Style Shirt, ,4.0 out of 5 stars,94 ratings,In stock,amazon_men shirt_data
Majestic Man Cotton Checkered Slim Fit Casual Shirt For Men, ,3.8 out of 5 stars,"1,412 ratings",In stock,amazon_men shirt_data
Allen Solly Men's Slim Fit Shirt, ,3.9 out of 5 stars,"7,735 ratings",In stock,amazon_men shirt_data
Dennis Lingo Men's Striped Slim Fit Cotton Casual Shirt, ,3.8 out of 5 stars,"2,023 ratings",In stock,amazon_men shirt_data
Dennis Lingo Men's Slim Fit Casual Shirt, ,4.0 out of 5 stars,"2,433 ratings",Available to ship in 1-2 days,amazon_men shirt_data
Arrow Men's Checkered Slim Fit Formal Shirt, ,4.1 out of 5 stars,320 ratings,In stock,amazon_men shirt_data
Arrow Men's Solid Slim Fit Formal Shirt, ,4.0 out of 5 stars,153 ratings,In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Solid Cotton Formal Shirt | Plain | Full Sleeve - Regular Fit (Available in Plus Size and Combo Packs), ,4.0 out of 5 stars,"8,900 ratings",In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Cotton Shirt | Chinese Collar | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Size and Combo Packs), ,4.0 out of 5 stars,299 ratings,In stock,amazon_men shirt_data
U.S. POLO ASSN. Men's Slim Fit Shirt, ,5.0 out of 5 stars,1 rating,In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Size and Combo Packs), ,3.8 out of 5 stars,"7,182 ratings",In stock,amazon_men shirt_data
Arrow Men's Checkered Full Sleeve Slim Fit Point Collar Cotton Casual Shirt, ,3.7 out of 5 stars,65 ratings,In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Solid 100% Cotton Slim Fit Formal Shirt, ,3.9 out of 5 stars,919 ratings,In stock,amazon_men shirt_data
Urbano Fashion Men's Cotton Full Sleeve Regular Fit Casual Checkered Shirt, ,Previous page,,Only 4 left in stock.,amazon_men shirt_data
The Souled Store Plaid: Waffle Black Men and Boys Long Sleeve Collared Neck Button Front Regular Fit Cotton Shirts, ,3.6 out of 5 stars,3 ratings,In stock,amazon_men shirt_data
U.S. POLO ASSN. Men's Regular Fit Shirt, ,2.0 out of 5 stars,1 rating,Only 4 left in stock.,amazon_men shirt_data
U.S. POLO ASSN. Cotton Men's Slim Fit Casual Style Shirt, ,4.0 out of 5 stars,94 ratings,In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Solid Cotton Formal Shirt | Plain | Full Sleeve - Regular Fit (Available in Plus Size and Combo Packs), ,4.0 out of 5 stars,"8,900 ratings",In stock,amazon_men shirt_data
Men's Half Sleeve Linen Shirt, ,3.8 out of 5 stars,289 ratings,In stock,amazon_men shirt_data
Levi's Men's Solid Slim Fit Shirt, ,4.0 out of 5 stars,136 ratings,In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Solid Cotton Rich Formal Shirt | Plain | Full Sleeve-Regular Fit (Available in Plus Size and Combo Pack of 2), ,3.8 out of 5 stars,"13,396 ratings",In stock,amazon_men shirt_data
Peter England Slim Fit Small Ditsy Printed Full Sleeve Shirt, ,4.0 out of 5 stars,256 ratings,Only 5 left in stock.,amazon_men shirt_data
Van Heusen Formal Striped Shirt for Men| Premium Cotton| Full Sleeves| Slim Fit |Breathable Fabric, ,3.9 out of 5 stars,372 ratings,In stock,amazon_men shirt_data
Peter England Men's Classic Textured Slim Fit Full Sleeve Shirt | Wonder Fabric | Cotton Rich | Premium Dobby, ,4.1 out of 5 stars,218 ratings,In stock,amazon_men shirt_data
